Magazine,Month,Year,Date,Name,Nationality,Sex,Job,Hexidecimal
GQ USA,November,2011,November 2011,Eminem,American,Male,Singer,#E3C0A6
GQ USA,November,2011,November 2011,Keith Richards,American,Male,Singer,#FACBB7
GQ USA,November,2011,November 2011,Lil Wayne,American,Male,Singer,#8C5439
GQ USA,November,2012,November 2012,Jermemy Lin,American,Male,Basketball Player,#E6B79A
GQ USA,November,2013,November 2013,James Gandolfini,Italian-American,Male,Actor,#000000
GQ USA,November,2013,November 2013,Justin Timberlake,American,Male,Singer,#E8C4AE
GQ USA,November,2013,November 2013,Kendrick Lemar,American,Male,Singer,#AC7655
GQ USA,November,2013,November 2013,Matthew McConaughey,American,Male,Actor,#E3BCA7
GQ USA,November,2013,November 2013,Michael Faassbender,American,Male,Actor,#EBC8A4
GQ USA,November,2014,November 2014,Matthew McConaughey,American,Male,Actor,#EEC6AF
GQ USA,November,2015,November 2015,Taylor Swift,American,Female,Singer,#F6CEB7
GQ USA,November,2016,November 2016,Russell Westbrook,American,Male,Basketball Player,#9F5134
GQ USA,November,2017,November 2017,LeBron James,American,Male,Basketball Player,#A56335
GQ USA,November,2018,November 2018,Ryan Gosling,Canadian,Male,Actor,#DEBBA8
GQ USA,November,2019,November 2019,Pharrell Williams,American,Male,Singer,#AF7458
GQ USA,October,1990,October 1990,James Spader,American,Male,Actor,#FFB575
GQ USA,October,1991,October 1991,Nick Nolte,American,Male,Actor,#F88335
GQ USA,October,1992,October 1992,Tim Robbins,American,Male,Actor,#FEA548
GQ USA,October,1993,October 1993,Johnny Depp,American,Male,Actor,#000000
GQ USA,October,1994,October 1994,Michael Jackson,American,Male,Singer,#000000
GQ USA,October,1995,October 1995,John Travolta,American,Male,Actor,#FEB68A
GQ USA,October,1996,October 1996,Elisabeth Shue,American,Female,Actor,#FBAB8F
GQ USA,October,1997,October 1997,George Clooney,American,Male,Actor,#FD956E
GQ USA,October,1998,October 1998,Hugh Grant,British,Male,Actor,#F07E4B
GQ USA,October,1999,October 1999,Ashley Judd,American,Female,Actor,#F5A77C
GQ USA,October,2000,October 2000,Kevin Spacey,American,Male,Actor,#E28C77
GQ USA,October,2001,October 2001,Kobe Bryant,American,Male,Basketball Player,#9F5D50
GQ USA,October,2001,October 2001,Mario Lemieux,American,Male,Canadian,#EEB0A3
GQ USA,October,2002,October 2002,Kevin Garnett,American,Male,Basketball Player,#2D1416
GQ USA,October,2002,October 2002,Tom Brady,American,Male,NFL Player,#DDAE98
GQ USA,October,2003,October 2003,Dwayne Johnson,American,Male,Actor,#BD6C4A
GQ USA,October,2004,October 2004,Lindsey Lohan,American,Female,Actor,#F9BFA7
GQ USA,October,2005,October 2005,Cameron Diaz,American,Female,Actor,#F8B198
GQ USA,October,2006,October 2006,Josh Hartnett,American,Male,Actor,#E3B8B8
GQ USA,October,2007,October 2007,Paul Newman,American,Female,Actor,#DEA38F
GQ USA,October,2008,October 2008,Megan Fox,American,Female,Actor,#EBC19F
GQ USA,October,2009,October 2009,Olivia Wilde,American,Female,Actor,#B27849
GQ USA,October,2010,October 2010,Ryan Reynolds,Canadian-American,Male,Actor,#EDD2C2
GQ USA,October,2011,October 2011,Leonardo DiCaprio,American,Male,Actor,#FADFCA
GQ USA,October,2012,October 2012,Chris Paul,American,Male,Baseball Player,#8F755C
GQ USA,October,2012,October 2012,Denzel Washington,American,Male,Actor,#A08872
GQ USA,October,2012,October 2012,Javier Bardem,Spanish,Male,Actor,#DFCCB0
GQ USA,October,2013,October 2013,Idris Elba,British,Male,Actor,#8A4E37
GQ USA,October,2013,October 2013,Jeff Bridges,American,Male,Actor,#ECC0A8
GQ USA,October,2013,October 2013,Justin Theroux,American,Male,Actor,#ECBEAB
GQ USA,October,2014,October 2014,Blake Griffin,American,Male,Basketball Player,#E6B299
GQ USA,October,2014,October 2014,Clive Owen,British,Male,Actor,#E6B299
GQ USA,October,2014,October 2014,Norman Reedus,American,Male,Actor,#EBC8B6
GQ USA,October,2015,October 2015,Michael B. Jordan,American,Male,Actor,#A66D5C
GQ USA,October,2015,October 2015,Rob Lowe,American,Male,Actor,#F3C8B3
GQ USA,October,2015,October 2015,Ryan Reynolds,Canadian-American,Male,Actor,#F2C0AD
GQ USA,October,2016,October 2016,Lin-Manuel Miranda,American,Male,Composer,#E6B79B
GQ USA,October,2017,October 2017,Harrison Ford,American,Male,Actor,#EBBEA8
GQ USA,October,2018,October 2018,Paul McCartney,British,Male,Singer,#E2BBA6
GQ USA,October,2019,October 2019,Brad Pitt,American,Male,Actor,#C69263
GQ USA,September,1990,September 1990,Jim Everett,American,Male,NFL Player,#FDAD8F
GQ USA,September,1991,September 1991,Boris Becker,German,Male,Tennis Player,#FCAC73
GQ USA,September,1992,September 1992,Al Pacino,American,Male,Actor,#FABB89
GQ USA,September,1993,September 1993,Troy Aikman,American,Male,NFL Player,#FC8D57
GQ USA,September,1994,September 1994,Jimmy Johnson,American,Male,Basketball Coach,#FFAC67
GQ USA,September,1995,September 1995,Steve Young,American,Male,NFL Player,#FFB096
GQ USA,September,1996,September 1996,Dan Marino,American,Male,NFL Player,#FEBBAF
GQ USA,September,1997,September 1997,Sean Penn,American,Male,Actor,#F5896B
GQ USA,September,1998,September 1998,Derek Jeter,American,Male,NFL Player,#E1713D
GQ USA,September,1999,September 1999,Terrell Davis,American,Male,NFL Player,#6F3631
GQ USA,September,2000,September 2000,Brendan Fraser,American,Male,Actor,#FEA97E
GQ USA,September,2001,September 2001,Ben Stiller,American,Male,Actor,#F2A075
GQ USA,September,2002,September 2002,Heidi Klum,German,Female,Model,#F8AF86
GQ USA,September,2003,September 2003,Johnny Knoxville,American,Male,Actor,#F5AE8D
GQ USA,September,2004,September 2004,Justin Timberlake,American,Male,Actor,#F4C3AF
GQ USA,September,2005,September 2005,Tom Brady,American,Male,NFL Player,#CDA177
GQ USA,September,2006,September 2006,Clive Owen,British,Male,Actor,#F7BB9E
GQ USA,September,2007,September 2007,Barack Obama,American,Female,Actor,#D19968
GQ USA,September,2008,September 2008,James Franco,American,Male,Actor,#EDC3AC
GQ USA,September,2009,September 2009,Michael Jackson,American,Male,Singer,#B97C53
GQ USA,September,2010,September 2010,LeBron James,American,Male,Basketball Player,#85482B
GQ USA,September,2011,September 2011,Mark Sanchez,American,Male,NFL Player,#F5C89A
GQ USA,September,2012,September 2012,Cam Newton,American,Male,NFL Player,#A57153
GQ USA,September,2012,September 2012,Tim Tebow,American,Male,Baseball Player,#E1B99B
GQ USA,September,2013,September 2013,Colin Kaepernick,American,Male,NFL Player,#E7B28B
GQ USA,September,2013,September 2013,Robert Griffin III,American,Male,NFL Player,#B7663D
GQ USA,September,2014,September 2014,Adam Driver,American,Male,Actor,#EAC3AE
GQ USA,September,2015,September 2015,Stephen Colbert,American,Male,Comedian,#EEB691
GQ USA,September,2016,September 2016,Cam Newton,American,Male,NFL Player,#9E5E48
GQ USA,September,2017,September 2017,Robert Pattinson,British,Male,Actor,#D8B09E
GQ USA,September,2018,September 2018,Chris Hemsworth,Australian,Male,Actor,#D4B9AB
GQ USA,September,2019,September 2019,Rami Malek,American,Male,Actor,#D7C0A3
